아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
0001,亜,亞,二,7,S,,,ア,버금 아,1.아 2.'アジア(亜細亜)'의준말 3.'アルゼンチン(亜爾然丁)'의준말
0002,哀,,口,9,S,,,アイ、あわ-れ、あわ-れむ,슬플 애,1.슬프다 2.가엾게여기다 3.가엾음 4.애원하다 5.슬퍼하다
0003,挨,,手,10,S,2010,,アイ,밀칠 애,
0004,愛,,心,13,4,,,アイ,사랑 애,1.사랑하다 2.그리워하다 3.좋아하다 4.소중히여기다 5.아끼다
0005,曖,,日,17,S,2010,,アイ,희미할 애,
0006,悪,惡,心,11,3,,,アク、オ、わる-い,악할 악/ 미워할 오,1.나쁘다 2.좋지않다 3.보기싫은 4.서투른 5.나쁜
0007,握,,手,12,S,,,アク、にぎ-る,쥘 악,1.쥐다 2.잡다 3.움키다
0008,圧,壓,土,5,5,,,アツ,누를 압,1.누르다 2.억누르다 3.능가하다 4.짓누르다
0009,扱,,手,6,S,,,あつか-う,미칠 급,
0010,宛,,宀,8,S,2010,,あ-てる,완연할 완,1.당 2.…앞
0011,嵐,,山,12,S,2010,,あらし,남기 람,1.폭풍 2.(비유적으로)파동 3.파란
0012,安,,宀,6,3,,,アン、やす-い,편안 안,
0013,案,,木,10,4,,,アン,책상 안,1.책상 2.생각하다 3.조사하다 4.생각 5.계획
0014,暗,,日,13,3,,,アン、くら-い,어두울 암,1.어둡다 2.거무스름하다 3.우둔함 4.답답하다 5.비밀리
0015,以,,人,5,4,,,イ,써 이,1.(시간의) …에서 2.(범위의) …에서 3.(방향의) …에서 4.…으로 5.…부터
0016,衣,,衣,6,4,,,イ、ころも,옷 의,1.옷 2.법의 3.(과자·튀김등의)거죽에입힌것 4.의복 5.승복(僧服)
0017,位,,人,7,4,,,イ、くらい,자리 위,1.(관직·신분의)차례 2.천자의지위 3.곳 4.방향
0018,囲,圍,囗,7,5,,,イ、かこ-む、かこ-う,에워쌀 위,1.에워싸다 2.둘레 3.둘러싸다 4.주위
0019,医,醫,酉,7,3,,,イ,의원 의,1.병을고침 2.의사
0020,依,,人,8,S,,,イ、（エ）,의지할 의,1.의지하다 2.부탁하다 3.그대로 4.기대다 5.원래대로
0021,委,,女,8,3,,,イ、ゆだ-ねる,맡길 위,1.맡기다 2.'委員会いいんかい'의준말 3.자세하다 4.버리다 5.위임하다
0022,威,,女,9,S,,,イ,위엄 위,1.강하다 2.세력 3.위협하다 4.위엄스럽다 5.권력
0023,為,爲,爪,9,S,,,イ,할 위,1.이익 2.목적 3.그일이다음에말하는것의목적임을나타냄 4.…때문 5.그일이다음에말하는것의원인·이유임을나타냄
0024,畏,,田,9,S,2010,,イ、おそ-れる,두려워할 외,1.두려워하다 2.심복하다 3.황송해하다 4.공경하다
0025,胃,,肉,9,6,,,イ,밥통 위,
0026,尉,,寸,11,S,,,イ,벼슬 위,1.(能楽のうがく에서)백발할아버지 2.(숯불이타고남은)흰재 3.노인탈
0027,異,,田,11,6,,,イ、こと,다를 이,1.다름 2.보통과는달리이상함 3.정통이아닌것 4.다른점이있음 5.묘함
0028,移,,禾,11,5,,,イ、うつ-る、うつ-す,옮길 이,1.옮다 2.변하다 3.옮기다 4.움직이다
0029,萎,,艸,11,S,2010,,イ、な-える,시들 위,1.시들다 2.쇠약해지다
0030,偉,,人,12,S,,,イ、えら-い,클 위,1.훌륭하다 2.멋진 3.크고뛰어난
0031,椅,,木,12,S,2010,,イ,의자 의,
0032,彙,,彐,13,S,2010,,イ,무리 휘,
0033,意,,心,13,3,,,イ,뜻 의,1.마음 2.생각 3.심지 4.원한 5.연구
0034,違,,辵,13,S,,,イ、ちが-う、ちが-える,어긋날 위,1.다르다 2.엇갈리다 3.어기다 4.잘못 5.위반하다
0035,維,,糸,14,S,,,イ,벼리 유,1.잇다 2.대강(大綱) 3.줄기 4.오직 5.維摩ゆいま유마
0036,慰,,心,15,S,,,イ、なぐさ-める、なぐさ-む,위로할 위,마음을위로하는재료(거리)
0037,遺,,辵,15,6,,,イ、（ユイ）,남길 유,1.잊다 2.버리다 3.남기다 4.(사후에)남기다 5.(마음에)남다
0038,緯,,糸,16,S,,,イ,위도 위,
0039,域,,土,11,6,,,イキ,지경 역,1.경계 2.구획된장소·토지 3.지방 4.범위 5.나라
0040,育,,肉,8,3,,,イク、そだ-つ、そだ-てる、はぐく-む,기를 육,1.기르다 2.가르치다 3.자라다
0041,一,,一,1,1,,,イチ、イツ、ひと、ひと-つ,한 일,1.하나 2.같음 3.버젓한 4.전체 5.오로지
0042,壱,壹,士,7,S,,,イチ,한/ 갖은한 일,
0043,逸,逸,辵,11,S,,,イツ,편안할 일,
0044,茨,,艸,9,4,2010,,（いばら）,가시나무 자,1.가시나무 2.가시가있는관목류의총칭 3.(식물의)가시 4.찔레꽃 5.야생장미의총칭
0045,芋,,艸,6,S,,,いも,토란 우,
0046,引,,弓,4,2,,,イン、ひ-く、ひ-ける,끌 인,1.당기다 2.늘이다 3.데려가다 4.이끌다 5.떠맡다
0047,印,,卩,6,4,,,イン、しるし,도장 인,
0048,因,,囗,6,5,,,イン、よ-る,인할 인,
0049,咽,,口,9,S,2010,,イン,목구멍 인,
0050,姻,,女,9,S,,,イン,혼인 인,1.결혼 2.인척 3.혼인
0051,員,,口,10,3,,,イン,인원 원,1.사람수 2.역을맡은사람 3.둘레 4.물건수 5.소속된사람
0052,院,,阜,10,3,,,イン,집 원,1.관청 2.사원 3.학교 4.진료소 5.시설
0053,淫,,水,11,S,2010,,イン、みだ-ら,음란할 음,1.음탕함 2.올바르지못한 3.문란해지다 4.도를넘다 5.오래다
0054,陰,,阜,11,S,,,イン、かげ、かげ-る,그늘 음,
0055,飲,飮,食,12,3,,,イン、の-む,마실 음,1.마시다 2.술을마시다 3.마실것
0056,隠,隱,阜,14,S,,,イン、かく-す、かく-れる,숨을 은,1.가리다 2.간수하다 3.비밀로하다 4.숨다 5.세상을멀리하다
0057,韻,,音,19,S,,,イン,운율 운,
0058,右,,口,5,1,,,ウ、ユウ、みぎ,오른쪽 우,1.우 2.우위(優位) 3.(세로쓰기문장에서)우 4.우익 5.오른쪽
0059,宇,,宀,6,6,,,ウ,집 우,
0060,羽,羽,羽,6,2,,,ウ、は、はね,깃 우,
0061,雨,,雨,8,1,,,ウ、あめ、（あま）,비 우,1.비 2.비가옴 3.우천
0062,唄,,口,10,S,2010,,（うた）,염불 소리 패,
0063,鬱,,鬯,29,S,2010,,ウツ,막힐 울,1.울창함 2.번성함 3.막히다 4.개운치않다
0064,畝,,田,10,S,,,うね,이랑 묘,
0065,浦,,水,10,S,,,うら,개 포,1.바닷가 2.물가 3.갯가
0066,運,,辵,12,3,,,ウン、はこ-ぶ,옮길 운,1.나르다 2.돌다 3.사용하다 4.움직이다 5.운
0067,雲,,雨,12,2,,,ウン、くも,구름 운,1.구름 2.구름처럼생김 3.막연함 4.(마음이)개운치않음 5.높은곳
0068,永,,水,5,5,,,エイ、なが-い,길 영,1.시간이길다 2.무한함
0069,泳,,水,8,3,,,エイ、およ-ぐ,헤엄칠 영,헤엄치다
0070,英,,艸,8,4,,,エイ,꽃부리 영,1.뛰어나다 2.뛰어난사람 3.아름답다
0071,映,,日,9,6,,,エイ、うつ-る、うつ-す、は-える,비칠 영,1.비치다 2.비추다 3.번쩍이다
0072,栄,榮,木,9,4,,,エイ、さか-える、は-え、は-える,영화 영,1.성하다 2.번성해지다 3.이름이나다 4.성하게하다 5.영예
0073,営,營,火,12,5,,,エイ、いとな-む,경영할 영,1.만들다 2.행하다 3.꾀하다 4.진을치다 5.성채
0074,詠,,言,12,S,,,エイ、よ-む,읊을 영,1.읊다 2.시가(詩歌)를짓다 3.찬양하다 4.노래하다
0075,影,,彡,15,S,,,エイ、かげ,그림자 영,1.그림자 2.(해·달등의)빛 3.모습 4.(어두운)그림자 5.환영(幻影)
0076,鋭,銳,金,15,S,,,エイ、するど-い,날카로울 예,1.뾰족하다 2.날카롭다 3.세다 4.강자 5.총명하다
0077,衛,衞,行,16,5,,,エイ,지킬 위,1.지키다 2.지킴 3.지키는사람
0078,易,,日,8,5,,,エキ、イ、やさ-しい,바꿀 역/ 쉬울 이,1.쉽다 2.변화시키다 3.바꾸다 4.바뀌다 5.점대를쓰는점
0079,疫,,疒,9,S,,,エキ、（ヤク）,전염병 역,1.유행병 2.전염병
0080,益,益,皿,10,5,,,エキ、（ヤク）,더할 익,1.점점 2.더욱더
0081,液,,水,11,5,,,エキ,진 액,1.즙 2.액체
0082,駅,驛,馬,14,3,,,エキ,역 역,1.역참(驛站) 2.차례차례송달하다 3.정거장
0083,悦,悅,心,10,S,,,エツ,기쁠 열,1.기뻐하다 2.즐기다 3.기쁨 4.즐거움
0084,越,,走,12,S,,,エツ、こ-す、こ-える,넘을 월,1.넘다 2.시간이경과하다 3.분수·정도를지나치다 4.뛰어나다 5.'越こしの国くに'의준말
0085,謁,謁,言,15,S,,,エツ,뵐 알,1.윗사람을뵙다 2.귀인을뵙다
0086,閲,閱,門,15,S,,,エツ,볼 열,1.하나하나살펴조사하다 2.문서를조사하다 3.책을보다 4.군대를조사하다 5.경과하다
0087,円,圓,囗,4,1,,,エン、まる-い,둥글 원,1.둥글다 2.원 3.모가없음 4.과부족이없이충분함 5.부근
0088,延,,廴,8,6,,,エン、の-びる、の-べる、の-ばす,늘일 연,
0089,沿,,水,8,6,,,エン、そ-う,물 따라갈 연,1.따르다 2.(습관·전례를)따르다
0090,炎,,火,8,S,,,エン、ほのお,불꽃 염,
0091,怨,,心,9,S,2010,,エン、オン,원망할 원,
0092,宴,,宀,10,S,,,エン,잔치 연,1.주연 2.즐기다 3.잔치
0093,媛,,女,12,4,2010,,エン,미인 원,
0094,援,,手,12,S,,,エン,도울 원,
0095,園,,囗,13,2,,,エン、その,동산 원,1.초목·꽃·채소·과수·약초등을심은밭 2.뜰 3.구획된지역 4.사람들이모여서즐기는곳 5.마당
0096,煙,,火,13,S,,,エン、けむ-る、けむり、けむ-い,연기 연,
0097,猿,,犬,13,S,1981,,エン、さる,원숭이 원,1.원숭이 2.원숭이같은놈 3.남의흉내를잘내거나잔재주부리는사람을욕하는말 4.自在じざいかぎ를매달아고정시키는멈춤쇠 5.(덧문·빈지의)비녀장
0098,遠,,辵,13,2,,,エン、（オン）、とお-い,멀 원,1.거리가멀다 2.시간이길다 3.우원하다 4.친하지않다 5.깊숙하다
0099,鉛,,金,13,S,,,エン、なまり,납 연,1.납 2.원소기호Pb 3.납덩이같다
0100,塩,鹽,鹵,13,4,,,エン、しお,소금 염,1.소금 2.소금기 3.간
0101,演,,水,14,5,,,エン,펼 연,1.설명하다 2.넓히다 3.행하다 4.배우다 5.말하다
0102,縁,緣,糸,15,S,,,エン、ふち,인연 연,1.(운명적인)연 2.(사물과의)연 3.(불교의)인연 4.(혈족·남녀의)인연 5.툇마루
0103,艶,艷,色,19,S,2010,,エン、つや,고울 염,1.윤기 2.재미 3.(피부의)윤기 4.(교섭등에서잘부탁한다고주는)금품이나돈 5.애교
0104,汚,,水,6,S,,,オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い,더러울 오,1.더럽히다 2.부정을저지르다 3.더러워지다 4.더러움 5.수치
0105,王,,玉,4,1,,,オウ,임금 왕,1.왕 2.왕족 3.제1인자 4.(장기짝의)궁 5.임금
0106,凹,,凵,5,S,1981,,オウ,오목할 요,오목함
0107,央,,大,5,3,,,オウ,가운데 앙,1.가운데 2.중심
0108,応,應,心,7,5,,,オウ、こた-える,응할 응,1.대답하다 2.상대하다 3.응하다 4.감당하다 5.어울리다
0109,往,,彳,8,5,,,オウ,갈 왕,1.가다 2.죽다 3.옛날 4.장래 5.일찍이
0110,押,,手,8,S,,,オウ、お-す、お-さえる,누를 압,1.누르다 2.몰수하다 3.운(韻)을달다
0111,旺,,日,8,S,2010,,オウ,왕성할 왕,1.성하다 2.번창하다
0112,欧,歐,欠,8,S,,,オウ,구라파 구,1.토하다 2.때리다
0113,殴,毆,殳,8,S,,,オウ、なぐ-る,때릴 구,
0114,桜,櫻,木,10,5,,,オウ、さくら,앵두 앵,1.벚나무 2.'さくらいろ'의준말 3.'さくらにく'의준말
0115,翁,,羽,10,S,,,オウ,늙은이 옹,
0116,奥,奧,大,12,S,,,オウ、おく,깊을 오,1.(깊숙한)속 2.(집의)안 3.(겉에드러나지않는)속 4.오의(奧義) 5.(발육이)늦됨
0117,横,橫,木,15,3,,,オウ、よこ,가로 횡,1.가로 2.옆 3.곁 4.측면
0118,岡,,山,8,4,2010,,（おか）,언덕 강,
0119,屋,,尸,9,3,,,オク、や,집 옥,
0120,億,,人,15,4,,,オク,억 억,
0121,憶,,心,16,S,,,オク,생각할 억,1.생각하다 2.외다 3.미루어헤아리다 4.생각해내다
0122,臆,,肉,17,S,2010,,オク,가슴 억,1.가슴 2.미루어헤아리다 3.겁먹다 4.마음속 5.주눅들다
0123,虞,,虍,13,S,,,おそれ,염려할 우,
0124,乙,,乙,1,S,,,オツ,새 을 ,1.을 2.(등급등에서)을 3.(주로법률에서이름대신에)을 4.구수함 5.묘하게
0125,俺,,人,10,S,2010,,おれ,나 암,
0126,卸,,卩,9,S,,,おろ-す、おろし,풀 사,1.도매 2.도맷값
0127,音,,音,9,1,,,オン、イン、おと、ね,소리 음,1.소리 2.소식 3.소문 4.평판
0128,恩,,心,10,6,,,オン,은혜 은,1.은혜를베풀다 2.귀여워하다
0129,温,溫,水,12,3,,,オン、あたた-か、あたた-かい、あたた-まる、あたた-める,따뜻할 온,1.따뜻하다 2.따뜻하게하다 3.따뜻한정도 4.온화하다 5.익히다
0130,穏,穩,禾,16,S,,,オン、おだ-やか,편안할 온,1.온화하다 2.안온하다
0131,下,,一,3,1,,,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,아래 하,1.(위치에서)아래 2.(옷에서)안(쪽) 3.(신분·지위가)아래 4.(나이가)아래 5.(기술·솜씨등이)뒤짐
0132,化,,匕,4,3,,,カ、ケ、ば-ける、ば-かす,될 화,1.바뀌다 2.마음을바꾸다 3.(다른물질로)바뀌다 4.소장(消長)하다 5.둔갑하다
0133,火,,火,4,1,,,カ、ひ、（ほ）,불 화,1.불 2.불꽃 3.(부싯돌)불 4.(숯·장작)불 5.화재
0134,加,,力,5,4,,,カ、くわ-える、くわ-わる,더할 가,
0135,可,,口,5,5,,,カ,옳을 가,1.괜찮다 2.좋다고한다 3.들어주다 4.가능하다
0136,仮,假,人,6,5,,,カ、（ケ）、かり,거짓 가,1.임시 2.가짜
0137,何,,人,7,2,,,カ、なに、（なん）,어찌 하,1.(그밖에)무엇 2.(이름·실체를모르는)무엇 3.(애매하게말할경우의)그것 4.(서로알고있는것을가리키는)그것 5.왜
0138,花,,艸,7,1,,,カ、はな,꽃 화,
0139,佳,,人,8,S,,,カ,아름다울 가,1.훌륭하다 2.아름답다 3.경사롭다
0140,価,價,人,8,5,,,カ、あたい,값 가,
0141,果,,木,8,4,,,カ、は-たす、は-てる、は-て,실과 과,1.과일 2.결단성이있다 3.예기한대로 4.끝 5.응보
0142,河,,水,8,5,,,カ、かわ,물 하,
0143,苛,,艸,8,S,2010,,カ,가혹할 가,1.가혹하다 2.살갗을짓무르게하다
0144,科,,禾,9,2,,,カ,과목 과,1.(학문상의)구분 2.잘못 3.규정 4.과거 5.科白せりふ대사
0145,架,,木,9,S,,,カ、か-ける、か-かる,시렁 가,1.선반 2.장대 3.걸다 4.시렁 5.건너지르다
0146,夏,,夊,10,2,,,カ、（ゲ）、なつ,여름 하,여름
0147,家,,宀,10,2,,,カ、ケ、いえ、や,집 가,1.집 2.자기집 3.가정 4.집안 5.가
0148,荷,,艸,10,3,,,カ、に,멜 하,1.짐 2.하물 3.책임 4.부담
0149,華,,艸,10,S,,,カ、（ケ）、はな,빛날 화,
0150,菓,,艸,11,S,,,カ,과자 과,1.과실 2.과자 3.열매
0151,貨,,貝,11,4,,,カ,재물 화,1.재화 2.상품 3.금전 4.물건
0152,渦,,水,12,S,1981,,カ、うず,소용돌이 와,1.소용돌이 2.소용돌이무늬 3.(비유적으로)소용돌이 4.소용돌이모양 5.와중(渦中)
0153,過,,辵,12,5,,,カ、す-ぎる、す-ごす、あやま-つ、あやま-ち,지날 과,1.지나다 2.진행하다 3.지나치다 4.때가지나다 5.잘못
0154,嫁,,女,13,S,,,カ、よめ、とつ-ぐ,시집갈 가,1.며느리 2.신부 3.색시 4.새색시 5.새댁
0155,暇,,日,13,S,,,カ、ひま,틈/겨를 가,
0156,禍,禍,示,13,S,,,カ,재앙 화,
0157,靴,,革,13,S,1981,,カ、くつ,신발 화,
0158,寡,,宀,14,S,,,カ,적을 과,1.적다 2.홀어미 3.(겸손하여)덕이적다 4.寡男やもめ홀아비 5.홀아비
0159,歌,,欠,14,2,,,カ、うた、うた-う,노래 가,
0160,箇,,竹,14,S,,,カ,낱 개,
0161,稼,,禾,15,S,1981,,カ、かせ-ぐ,심을 가,1.(곡류를)심다 2.벌다 3.일하다
0162,課,,言,15,4,,,カ,공부할 과,1.할당된일 2.세금 3.사무분담의구분
0163,蚊,,虫,10,S,,,か,모기 문,모기
0164,牙,,牙,4,S,2010,,ガ、（ゲ）、きば,어금니 아,엄니
0165,瓦,,瓦,5,S,2010,,ガ、かわら,기와 와,기와
0166,我,,戈,7,6,,,ガ、われ、わ,나 아,
0167,画,畫,田,8,2,,,ガ、カク,그림 화/그을 획,1.한정하다 2.궁리하다 3.한자의획 4.그리다 5.그림
0168,芽,,艸,8,4,,,ガ、め,싹 아,1.싹 2.움 3.(비유적으로)싹
0169,賀,,貝,12,4,,,ガ,하례할 하,축하하다
0170,雅,,隹,13,S,,,ガ,맑을 아,우아함
0171,餓,,食,15,S,,,ガ,주릴 아,굶주리다
0172,介,,人,4,S,,,カイ,끼일 개,1.돕다 2.끼이다 3.중개(중매)하다 4.의지하다 5.혼자
0173,回,,囗,6,2,,,カイ、（エ）、まわ-る、まわ-す,돌 회,1.돌리다 2.돌아다니다 3.멀리돌다 4.돌아오다 5.피하다
0174,灰,,火,6,6,,,カイ、はい,재 회,재
0175,会,會,曰,6,2,,,カイ、エ、あ-う,모일 회,1.만나다 2.모이다 3.모임 4.집단 5.때
0176,快,,心,7,5,,,カイ、こころよ-い,쾌할 쾌,1.기분좋다 2.반갑다 3.병이낫다 4.빠르다 5.즐겁다
0177,戒,,戈,7,S,,,カイ、いまし-める,경계할 계,1.경계하다 2.삼가다 3.타이르다 4.(특히불교의)계율 5.금기
0178,改,,攴,7,4,,,カイ、あらた-める、あらた-まる,고칠 개,1.새롭게바꾸다 2.검사하다 3.새로워지다
0179,怪,,心,8,S,,,カイ、あや-しい、あや-しむ,괴이할 괴,1.이상하다 2.남다르다 3.진기하다 4.괴상한것 5.괴상하다
0180,拐,,手,8,S,1981,,カイ,후릴 괴,1.속여서빼앗다 2.속여서데리고가다 3.지팡이
0181,悔,悔,心,9,S,,,カイ、く-いる、く-やむ、くや-しい,뉘우칠 회,1.뉘우치다 2.조상하다
0182,海,海,水,9,2,,,カイ、うみ,바다 해,1.바다 2.호수 3.…의바다 4.(벼루의)연해 5.연지(硯池)
0183,界,,田,9,3,,,カイ,지경 계,1.경계 2.근처 3.한정된범위내 4.같은종류의모임
0184,皆,,白,9,S,,,カイ、みな,다 개,1.모두 2.전원 3.전부
0185,械,,木,11,4,,,カイ,기계 계,1.형틀 2.형틀을채우다 3.틀 4.그릇 5.장치
0186,絵,繪,糸,12,2,,,カイ、エ,그림 회,1.그림 2.화면
0187,開,,門,12,3,,,カイ、ひら-く、ひら-ける、あ-く、あ-ける,열 개,1.열다 2.넓히다 3.꽃이피다 4.땅을개척하다 5.문명화되다
0188,階,,阜,12,3,,,カイ,섬돌 계,1.층층대 2.사닥다리 3.건물의층 4.등급
0189,塊,,土,13,S,,,カイ、かたまり,덩어리 괴,
0190,楷,,木,13,S,2010,,カイ,본보기 해,1.(본보기의뜻)서체의하나 2.옻나뭇과의낙엽교목 3.해서(楷書;かいしょ) 4.중국원산 5.진서(真書;しんしょ)
0191,解,,角,13,5,,,カイ、ゲ、と-く、と-かす、と-ける,풀 해,1.낱낱으로풀다 2.베어내다 3.풀다 4.없애다 5.밝히다
0192,潰,,水,15,S,2010,,カイ、つぶ-す、つぶ-れる,무너질 궤,1.무너지다 2.패배하다 3.흐트러지다 4.허물어지다 5.무찌르다
0193,壊,壞,土,16,S,,,カイ、こわ-す、こわ-れる,무너질 괴,1.부수다 2.병들다 3.부서지다
0194,懐,懷,心,16,S,,,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける,품을 회,1.품 2.호주머니(에가지고있는돈) 3.둘러싸인곳 4.마음속 5.마음
0195,諧,,言,16,S,2010,,カイ,화할 해,1.부드러워짐 2.익살부림 3.조화를이룸 4.장난침
0196,貝,,貝,7,1,,,かい,조개 패,1.조개 2.조가비 3.조개껍질
0197,外,,夕,5,2,,,ガイ、ゲ、そと、ほか、はず-す、はず-れる,바깥 외,1.밖 2.(테두리)밖 3.(드러나보이는)겉 4.바깥 5.(자기집이아닌)집밖
0198,劾,,力,8,S,,,ガイ,꾸짖을 핵,1.따지다 2.죄를고발하다 3.추구하다
0199,害,,宀,10,4,,,ガイ,해할 해,1.해 2.해로움
0200,崖,,山,11,S,2010,,ガイ、がけ,언덕 애,
0201,涯,,水,11,S,1981,,ガイ,물가 애,1.물가 2.끝 3.강가
0202,街,,行,12,4,,,ガイ、（カイ）、まち,거리 가,1.큰거리 2.동네
0203,慨,慨,心,13,S,,,ガイ,분개할 개,1.한탄하다 2.분개하다
0204,蓋,,艸,13,S,2010,,ガイ、ふた,덮을 개,1.뚜껑 2.(소라·우렁등의)딱지 3.덮개
0205,該,,言,13,S,,,ガイ,각출/마땅 해,1.겸하다 2.맞다 3.넓게갖추다 4.일치하다
0206,概,槪,木,14,S,,,ガイ,대개 개,1.대체 2.모양 3.절조 4.한탄하다 5.평미레
0207,骸,,骨,16,S,2010,,ガイ,뼈 해,
0208,垣,,土,9,S,1981,,かき,담 원,
0209,柿,,木,9,S,2010,,かき,감나무 시,
0210,各,,口,6,4,,,カク、おのおの,각각 각,1.각각 2.갖가지 3.각자 4.하나하나
0211,角,,角,7,2,,,カク、かど、つの,뿔 각,1.뿔 2.모 3.각 4.장기말 5.비교하다
0212,拡,擴,手,8,6,,,カク,넓힐 확,1.넓히다 2.넓어지다
0213,革,,革,9,6,,,カク、かわ,가죽 혁,(무두질한)가죽
0214,格,,木,10,5,,,カク、（コウ）,격식 격,1.격 2.(신분의)격 3.격식(格式) 4.(문법의)격
0215,核,,木,10,S,,,カク,씨 핵,1.핵 2.씨 3.핵심 4.핵무기 5.'核兵器かくへいき'의준말
0216,殻,殼,殳,11,S,1981,,カク、から,껍질 각,
0217,郭,,邑,11,S,,,カク,둘레 곽,
0218,覚,覺,見,12,4,,,カク、おぼ-える、さ-ます、さ-める,깨달을 각,1.알다 2.기억하다 3.깨닫다 4.눈뜨다 5.나타나다
0219,較,,車,13,S,,,カク,견줄 교,1.견주다 2.겨루다 3.분명한 4.거의 5.현저한
0220,隔,,阜,13,S,,,カク、へだ-てる、へだ-たる,사이뜰 격,
0221,閣,,門,14,6,,,カク,집 각,1.전각 2.사다리 3.관청 4.'内閣ないかく'의준말 5.멈추다
0222,確,,石,15,5,,,カク、たし-か、たし-かめる,굳을 확,1.확실함 2.굳다 3.틀림없이 4.확고하다
0223,獲,,犬,16,S,,,カク、え-る,얻을 획,1.잡다 2.손에넣다 3.(어렵에서)잡은것 4.사로잡다 5.성과를얻다
0224,嚇,,口,17,S,,,カク,성낼 혁,1.성내다 2.위협하다 3.꾸짖다
0225,穫,,禾,18,S,,,カク,거둘 확,1.수확하다 2.(곡식을)베다 3.수확
0226,学,學,子,8,1,,,ガク、まな-ぶ,배울 학,1.배우다 2.학문 3.학교 4.교육 5.학자
0227,岳,嶽,山,8,S,,,ガク、たけ,큰 산 악,
0228,楽,樂,木,13,2,,,ガク、ラク、たの-しい、たの-しむ,즐길 락/노래 악,1.편안함 2.(생활이)넉넉함 3.쉬움 4.(연극·相撲すもう등)흥행의마지막날 5.'千秋楽せんしゅうらく'의준말
0229,額,,頁,18,5,,,ガク、ひたい,이마 액,1.이마 2.액수 3.액자 4.분량 5.현판
0230,顎,,頁,18,S,2010,,ガク、あご,턱 악,
0231,掛,,手,11,S,,,か-ける、か-かる、かかり,걸 괘,
0232,潟,,水,15,4,1981,,かた,개펄 석,1.석호(潟湖) 2.개펄 3.호수·늪 4.간석지 5.또는후미
0233,括,,手,9,S,,,カツ,묶을 괄,1.묶다 2.일괄하다 3.매듭짓다
0234,活,,水,9,2,,,カツ,살 활,1.살다 2.살아가다 3.살리다 4.'活動写真かつどうしゃしん활동사진'의준말 5.살아있다
0235,喝,喝,口,11,S,1981,,カツ,꾸짖을 갈,1.꾸짖다 2.큰소리를지르다 3.큰소리로으르다
0236,渇,渴,水,11,S,,,カツ、かわ-く,목마를 갈,1.마르다 2.물이마르다 3.탐하다 4.목이마르다 5.열망하다
0237,割,,刀,12,6,,,カツ、わ-る、わり、わ-れる、さ-く,벨 할,1.할 2.10분의1을단위로하는비율
0238,葛,,艸,12,S,2010,,カツ、くず,칡 갈,덩굴풀
0239,滑,,水,13,S,,,カツ、コツ、すべ-る、なめ-らか,미끄러울 활,1.미끈미끈한것 2.｢常滑とこなめ｣2와같음
0240,褐,褐,衣,13,S,1981,,カツ,갈색 갈,1.솜을넣은무명옷 2.갈색 3.신분이낮은사람 4.거친천으로만든옷
0241,轄,,車,17,S,,,カツ,다스릴 할,
0242,且,,一,5,S,,,か-つ,또 차,
0243,株,,木,10,6,,,かぶ,주식 주,1.그루터기 2.포기 3.주 4.'株式かぶしき' '株券かぶけん'의준말 5.(어떤특수사회에서)어떤특권을지니는권리나신분
0244,釜,,金,10,S,2010,,かま,가마솥 부,1.솥 2.밥솥
0245,鎌,,金,18,S,2010,,かま,낫 겸,낫
0246,刈,,刀,4,S,,,か-る,벨 예,
0247,干,,干,3,6,,,カン、ほ-す、ひ-る,방패 간,1.관여하다 2.막다 3.방패 4.말리다 5.천간(天干)
0248,刊,,刀,5,5,,,カン,새길 간,책을출판하다
0249,甘,,甘,5,S,,,カン、あま-い、あま-える、あま-やかす,달 감,1.달다 2.바람직하다 3.맛좋다 4.상쾌하다 5.기분이좋다
0250,汗,,水,6,S,,,カン、あせ,땀 한,1.땀 2.(표면에서린)물방울
0251,缶,罐,缶,6,S,1981,,カン,두레박 관,1.깡통 2.통조림 3.'缶詰かんづめ'의준말 4.기관(汽罐) 5.쇠주전자
0252,完,,宀,7,4,,,カン,완전할 완,1.완전한 2.끝내다 3.완결지우다 4.끝나다
0253,肝,,肉,7,S,,,カン、きも,간 간,1.간 2.마음 3.가장중요한부분 4.간장 5.진심
0254,官,,宀,8,4,,,カン,벼슬 관,1.벼슬아치 2.관공서 3.관직 4.귀·눈·혀·코·피부등오관의작용 5.관리
0255,冠,,冖,9,S,,,カン、かんむり,갓 관,
0256,巻,卷,卩,9,6,,,カン、ま-く、まき,책 권,1.책 2.감다 3.굽다 4.두루마리 5.두르다
0257,看,,目,9,6,,,カン,볼 간,1.보다 2.지켜보다 3.지키다 4.읽다 5.바라보다
0258,陥,陷,阜,10,S,,,カン、おちい-る、おとしい-れる,빠질 함,1.빠지다 2.함락되다 3.빠뜨리다 4.부족하다 5.속이다
0259,乾,,乙,11,S,,,カン、かわ-く、かわ-かす,마를 건,1.마르다 2.팔괘(八卦)의하나 3.하늘 4.임금 5.서북방
0260,勘,,力,11,S,,,カン,헤아릴 감,육감
