아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1392,丁,,一,2,3,,,チョウ、テイ,고무래/ 장정 정,1.정 2.한창때의남자 3.부역대상남자 4.남자하인 5.나무베는소리
1393,弔,,弓,4,S,,,チョウ、とむら-う,조상할 조,1.조문하다 2.문상하다
1394,庁,廳,广,5,6,,,チョウ,관청 청,관청
1395,兆,,儿,6,4,,,チョウ、きざ-す、きざ-し,조 조,1.조짐 2.수가많음 3.징조 4.백성
1396,町,,田,7,1,,,チョウ、まち,밭두둑 정,1.도회 2.거리 3.지방자치체(自治體)의하나 4.행정상의단위로서都道府県とどうふけん에속하며인구규모로는村むら보다크고市し보다작음 5.시(市)나구(區)를구성하는한구획
1397,長,,長,8,2,,,チョウ、なが-い,긴 장,1.길다 2.(키가)크다 3.(거리가)멀다 4.(시간이)길다 5.우두머리
1398,挑,,手,9,S,1981,,チョウ、いど-む,돋울 도,도전하다
1399,帳,,巾,11,3,,,チョウ,장막 장,1.휘장 2.가로닫이막 3.장부 4.방장
1400,張,,弓,11,5,,,チョウ、は-る,베풀 장,
1401,彫,,彡,11,S,,,チョウ、ほ-る,새길 조,1.새기다 2.시들다
1402,眺,,目,11,S,1981,,チョウ、なが-める,바라볼 조,1.바라보다 2.내다보다
1403,釣,,金,11,S,1981,,チョウ、つ-る,낚을/낚시 조,1.(물고기를)낚다 2.구하다 3.꾀어내다
1404,頂,,頁,11,6,,,チョウ、いただ-く、いただき,정수리 정,1.꼭대기 2.정상(頂上)
1405,鳥,,鳥,11,2,,,チョウ、とり,새 조,
1406,朝,,月,12,2,,,チョウ、あさ,아침 조,1.아침 2.아침나절 3.오전
1407,貼,,貝,12,S,2010,,チョウ、は-る,붙일 첩,
1408,超,,走,12,S,,,チョウ、こ-える、こ-す,뛰어넘을 초,1.넘다 2.초연하다 3.뛰어나다
1409,腸,,肉,13,6,,,チョウ,창자 장,1.창자 2.마음 3.감정
1410,跳,,足,13,S,,,チョウ、は-ねる、と-ぶ,뛸 도,1.기뻐날뛰다 2.뛰다 3.횡행하다
1411,徴,徵,彳,14,S,,,チョウ,부를 징,
1412,嘲,,口,15,S,2010,,チョウ、あざけ-る,비웃을 조,1.비웃다 2.비방하다 3.조롱하다
1413,潮,,水,15,6,,,チョウ、しお,밀물/조수 조,
1414,澄,,水,15,S,,,チョウ、す-む、す-ます,맑을 징,(물등이)맑다
1415,調,,言,15,3,,,チョウ、しら-べる、ととの-う、ととの-える,조사할 조,1.조화를이루다 2.조절하다 3.조달하다 4.만들다 5.훈련하다
1416,聴,聽,耳,17,S,,,チョウ、き-く,들을 청,1.(소리를)듣다 2.(연설등을)듣다 3.열심히듣다 4.허락하다
1417,懲,懲,心,18,S,,,チョウ、こ-りる、こ-らす、こ-らしめる,징계할 징,징계하다
1418,直,,目,8,2,,,チョク、ジキ、ただ-ちに、なお-す、なお-る,곧을 직,직접
1419,勅,,力,9,S,,,チョク,칙서 칙,
1420,捗,,手,10,S,2010,,チョク,칠 척,
1421,沈,,水,7,S,,,チン、しず-む、しず-める,잠길 침,
