한가지 공,共,きょう,とも
이바지할 공,供,きょう、く,とも、そなえる
구멍 공,孔,こう,
칠 공,攻,こう,せめる
두려울 공,恐,きょう,おそれる、おそろしい
공손할 공,恭,きょう,うやうやしい
바칠 공,貢,こう、く,みつぐ
당길 공,控,こう,ひかえる
과목 과,科,か,
실과 과,果,か,はたす、はてる
공부할 과,課,か,
지날 과,過,か,すぎる、すごす、あやまつ
과자 과,菓,か,
자랑할 과,誇,こ,ほこる、ほこらしい
적을 과,寡,か,
냄비 과,鍋,,なべ
둘레 곽,郭,かく,
집 관,館,かん,
벼슬 관,官,かん,
대롱 관,管,かん,くだ
관계할 관,関,かん,せき、かかわる
볼 관,観,かん,
익숙할 관,慣,かん,なれる、ならす
꿸 관,串,,くし
두레박 관,缶,かん,
갓 관,冠,かん,かんむり
꿸 관,貫,かん,つらぬく
널 관,棺,かん,ひつぎ
항목 관,款,かん,
너그러울 관,寛,かん,くつろぐ
묶을 괄,括,かつ,くくる
넓을 광,広,こう,ひろい、ひろまる、ひろめる、ひろがる、ひろげる
빛 광,光,こう,ひかる、ひかり
쇳돌 광,鉱,こう,
미칠 광,狂,きょう,くるう、くるおしい
걸 괘,掛,,かける、かかる
괴이할 괴,怪,かい,あやしい、あやしむ
후릴 괴,拐,かい,
덩어리 괴,塊,かい,かたまり
무너질 괴,壊,かい,こわす、こわれる
학교 교,校,こう,
사귈 교,交,こう,まじわる、まじえる、まざる、かう、かわす
가르칠 교,教,きょう,おしえる、おそわる
다리 교,橋,きょう,はし
공교할 교,巧,こう,たくみ
들 교,郊,こう,
목맬 교,絞,こう,しぼる、しめる、しまる
견줄 교,較,かく,
바로잡을 교,矯,きょう,ためる
아홉 구,九,きゅう、く,ここの、ここのつ
입 구,口,こう、く,くち
구분할 구,区,く,
연구할 구,究,きゅう,きわめる
갖출 구,具,ぐ,そなわる
공 구,球,きゅう,たま
구할 구,求,きゅう,もとめる
구원할 구,救,きゅう,すくう
오랠 구,久,きゅう、く,ひさしい
글귀 구,句,く,
예 구,旧,きゅう,
얽을 구,構,こう,かまえる、かまう
굽을 구,勾,こう,
언덕 구,丘,こう,おか
절구 구,臼,きゅう,うす
때릴 구,殴,おう,なぐる
구라파 구,欧,おう,
잡을 구,拘,こう,
두려워할 구,惧,ぐ,
몰 구,駆,く,かける、かる
도랑 구,溝,こう,みぞ
망아지 구,駒,,こま
살 구,購,こう,
나라 국,国,こく,くに
판 국,局,きょく,
국화 국,菊,きく,
임금 군,君,くん,きみ
군사 군,軍,ぐん,
고을 군,郡,ぐん,
무리 군,群,ぐん,むれる、むら
굽힐 굴,屈,くつ,
팔 굴,掘,くつ,ほる
굴 굴,堀,,ほり
